Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Popularity
I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker,Chet Baker Sings,Chet Baker,1956,1,9,179640,,62
Solitude,Billie Holiday,Solitude,Billie Holiday,1956-01-01,1,8,207600,,69
My Favorite Things,John Coltrane,My Favorite Things (Deluxe Edition),John Coltrane,1961,1,1,824133,https://p.scdn.co/mp3-preview/f5c11004f9f6e5d44398a33ce77a60139fd5e9a7?cid=9950ac751e34487dbbe027c4fd7f8e99,56
Misty,Sarah Vaughan,Sarah Vaughan's Golden Hits,Sarah Vaughan,1958-07-07,1,1,179373,,59
"Mercy, Mercy, Mercy",Cannonball Adderley,Jazz Profile: Cannonball Adderley,Cannonball Adderley,1997-01-01,1,5,313200,,55
Let's Do It,Eartha Kitt,That Bad Eartha,Eartha Kitt,1957,1,5,185466,https://p.scdn.co/mp3-preview/f49c57b8d39fe8844504b762df87f3d9df02d47a?cid=9950ac751e34487dbbe027c4fd7f8e99,53
Everything Happens to Me,Chet Baker,Chet Baker Sings: It Could Happen To You [Original Jazz Classics Remasters] (OJC Remaster),Chet Baker,2010-01-01,1,7,305186,,51
"Take the ""A"" Train",Duke Ellington,Jazz Profiles,Duke Ellington,2008-07-14,1,1,332640,https://p.scdn.co/mp3-preview/447c4b7b59413ba54cc58043ac8083b378e4c0f0?cid=9950ac751e34487dbbe027c4fd7f8e99,48
Besame Mucho,Dave Brubeck,On Time,Dave Brubeck,2001-04-02,1,8,354573,https://p.scdn.co/mp3-preview/7b438aa8c906d7bc13dd3dcb09c8a3f9c1d280c1?cid=9950ac751e34487dbbe027c4fd7f8e99,54
Blue Rondo à la Turk,The Dave Brubeck Quartet,Time Out,The Dave Brubeck Quartet,1959-03-24,1,1,403640,https://p.scdn.co/mp3-preview/a464541aef0fc1c02c39af449c1ff59a2f501207?cid=9950ac751e34487dbbe027c4fd7f8e99,49
Stompin At The Savoy,Benny Goodman,B. G. In Hi Fi,Benny Goodman,1990-01-01,1,11,195533,,57
Lover Man,Billie Holiday,Lover Man,Billie Holiday,1958-01-01,1,1,197706,,56
Song For My Father,Horace Silver,Song For My Father,Horace Silver,1999-01-01,1,1,438280,,59
I'm Glad There Is You,Julie London,Julie Is Her Name,Julie London,1955-12-01,1,4,147413,,59
Blue Train,John Coltrane,Blue Train,John Coltrane,1957-11-01,1,1,643127,,55
My Little Brown Book,"Duke Ellington, John Coltrane",Duke Ellington & John Coltrane,"Duke Ellington, John Coltrane",1963-02,1,5,319733,,62
Coffee Cold,Galt MacDermot,Shapes of Rhythm/Woman Is Sweeter,Galt MacDermot,2000-01-01,1,3,205720,https://p.scdn.co/mp3-preview/f25e7453e3aa8f11321bd4461a93b58fe371c4e8?cid=9950ac751e34487dbbe027c4fd7f8e99,62
Autumn Leaves,Cannonball Adderley,Somethin' Else (Rudy Van Gelder Edition),Cannonball Adderley,1958,1,1,659520,,59
All the Things You Are,Charlie Parker,All the Things You Are,Charlie Parker,2002-03-01,2,8,170626,https://p.scdn.co/mp3-preview/63258880c92b5fa2e5aada6d181072027dd05977?cid=9950ac751e34487dbbe027c4fd7f8e99,49
"'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)","Miles Davis, John Coltrane, Red Garland, Paul Chambers, Philly Joe Jones",'Round About Midnight,Miles Davis,1957-03-18,1,1,355333,https://p.scdn.co/mp3-preview/c4114e23f7f1ea9ed4321113006c9c2599e5d355?cid=9950ac751e34487dbbe027c4fd7f8e99,57
On The Sunny Side Of The Street,"Dizzy Gillespie, Sonny Stitt, Sonny Rollins",Dizzy 100,Dizzy Gillespie,2017-09-29,3,3,342891,,53
Splanky,Count Basie,The Atomic Mr Basie,Count Basie,1958,1,9,217373,https://p.scdn.co/mp3-preview/74d25a3af9fdbd87c4cea6c0e5a845830c49c822?cid=9950ac751e34487dbbe027c4fd7f8e99,51
Naima - Mono,John Coltrane,Giant Steps (Mono),John Coltrane,1960,1,6,265049,https://p.scdn.co/mp3-preview/3155a86c45d6c5fb1d4fb16493d1b9aa95b284a1?cid=9950ac751e34487dbbe027c4fd7f8e99,57
My Funny Valentine - Rudy Van Gelder Remaster 2007,Miles Davis Quintet,Cookin' With The Miles Davis Quintet,Miles Davis Quintet,1957,1,1,358200,,57
