Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Popularity
Where We Used to Live,Esbjörn Svensson Trio,Tuesday Wonderland,Esbjörn Svensson Trio,2006-09-22,1,7,267173,https://p.scdn.co/mp3-preview/9e4e2bf77b91711c323fdbd31285ed361c6d18bd?cid=9950ac751e34487dbbe027c4fd7f8e99,53
I Fall In Love Too Easily,Bill Evans Trio,Moon Beams [Original Jazz Classics Remasters],Bill Evans Trio,1962,1,3,162680,,57
It Could Happen To You,Miles Davis Quintet,Relaxin' With The Miles Davis Quintet,Miles Davis Quintet,1958,1,5,396960,,49
Koko - Original Take 2,Charlie Parker,The Charlie Parker Story,Charlie Parker,1956-01-01,1,16,173733,,45
Nature Boy,"Jan Johansson, Georg Riedel",Jan Johansson in Hamburg with Georg Riedel,"Jan Johansson, Georg Riedel",2011-08-26,1,2,284186,https://p.scdn.co/mp3-preview/1b0b3949f28e67df5350bf28f3f9780e0f40a011?cid=9950ac751e34487dbbe027c4fd7f8e99,46
This I Dig Of You - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,Soul Station,Hank Mobley,1960-10-01,1,2,385866,,50
Joy Spring,"Clifford Brown, Max Roach Quintet",Clifford Brown And Max Roach,"Clifford Brown, Max Roach",1954-12-01,1,4,410666,,51
Tenor Madness - Rudy Van Gelder Remaster,"Sonny Rollins Quartet, John Coltrane",Tenor Madness,Sonny Rollins Quartet,1956,1,1,733066,,45
Moon River,Vince Guaraldi Trio,Jazz Impressions Of Black Orpheus [Original Jazz Classics Remasters] (OJC Remaster),Vince Guaraldi Trio,2010-01-01,1,6,321026,,50
Tell Me a Bedtime Story,Herbie Hancock,Fat Albert Rotunda,Herbie Hancock,1969-12-08,1,3,301866,https://p.scdn.co/mp3-preview/0c419858be533e7f35887d8089814f53b21aae58?cid=9950ac751e34487dbbe027c4fd7f8e99,52
Dolphin Dance,Ahmad Jamal Trio,The Awakening,Ahmad Jamal Trio,1970,1,4,309200,,53
Quick Trick,Art Blakey & The Jazz Messengers,Just Coolin',Art Blakey & The Jazz Messengers,2020-07-17,1,4,283740,,45
Since I Fell For You - Rudy Van Gelder Edition / 2007 / Digital Remaster,Lee Morgan,Candy (Remastered),Lee Morgan,1957,1,2,339333,,51
Senor Mouse,"Gary Burton, Chick Corea",Crystal Silence,"Gary Burton, Chick Corea",1973-04-16,1,1,377706,,45
Speak No Evil - Remastered 1998 / Rudy Van Gelder Edition,Wayne Shorter,Speak No Evil,Wayne Shorter,1966-06-01,1,4,503786,,49
It Never Entered My Mind,"Coleman Hawkins, Ben Webster",Coleman Hawkins Encounters Ben Webster (Expanded Edition),"Coleman Hawkins, Ben Webster",1959-11-01,1,2,346920,,51
You'd Be So Nice to Come Home To,Art Pepper,Art Pepper Meets The Rhythm Section (OJC Remaster),Art Pepper,1957,1,1,327773,,48
Love For Sale - 1959 Version,Anita O'Day,Anita O'Day Swings Cole Porter With Billy May,Anita O'Day,1959-01-01,1,2,164840,,46
I'm A Fool To Want You - 2006 Digital Remaster,Donald Byrd,Royal Flush,Donald Byrd,2006-01-01,1,2,372786,,48
The Things We Did Last Summer,Freddie Hubbard,The Hub of Hubbard,Freddie Hubbard,2016-05-13,1,4,439120,https://p.scdn.co/mp3-preview/64f215dbc417d9e8b0e87da9bc2ec2a58e443eda?cid=9950ac751e34487dbbe027c4fd7f8e99,47
For Lena And Lennie,Quincy Jones,The Quintessence,Quincy Jones,1962,1,5,259413,,45
Along Came Betty,Art Blakey,Moanin' (Expanded Edition),Art Blakey & The Jazz Messengers,1959-01-01,1,4,368746,,48
Monticello,The Monty Alexander Trio,We've Only Just Begun,The Monty Alexander Trio,2014-08-11,1,3,232377,https://p.scdn.co/mp3-preview/f1444e5ab5f2964d6d34b110198bf4a543574140?cid=9950ac751e34487dbbe027c4fd7f8e99,44
Young And Foolish,Bill Evans,Everybody Digs Bill Evans,Bill Evans,1959,1,2,354666,,52
Summertime,Albert Ayler,On Green Dolphin Street,Albert Ayler,2016-01-18,1,11,527579,https://p.scdn.co/mp3-preview/2947999bc1f330a1b5ed2f590a7544f2cb21a81d?cid=9950ac751e34487dbbe027c4fd7f8e99,40
My Groove Your Move - Rudy Van Gelder Edition,Hank Mobley,Roll Call,Hank Mobley,1960-01-01,1,2,367400,,47
Stars Fell On Alabama,Toots Thielemans,The Real... Toots Thielemans,Toots Thielemans,2017-03-24,2,15,193160,https://p.scdn.co/mp3-preview/cff896688387fc5e6c4ff6e4a594b6056e7c7e58?cid=9950ac751e34487dbbe027c4fd7f8e99,41
Hipsippy Blues,Art Blakey & The Jazz Messengers,Just Coolin',Art Blakey & The Jazz Messengers,2020-07-17,1,1,400446,,46
Mood Indigo,Charles Mingus,Mingus Mingus Mingus Mingus Mingus,Charles Mingus,1963,1,4,285933,,50
Search For Peace,McCoy Tyner,The Real McCoy (Remastered / Rudy Van Gelder Edition),McCoy Tyner,1967,1,4,392000,,50
Questar,"Keith Jarrett, Jan Garbarek, Palle Danielsson, Jon Christensen",My Song,Keith Jarrett,1978-06-01,1,1,550493,,46
Fair Weather - Remastered,Art Farmer,Modern Art,Art Farmer,1958,1,2,344066,,44
Dedicated To You,Freddie Hubbard,The Body & The Soul,Freddie Hubbard,1964-07-15,1,4,202773,,49
Stolen Moments,Ahmad Jamal Trio,The Awakening,Ahmad Jamal Trio,1970,1,6,392026,,46
Alone Together,Sonny Stitt,New York Jazz,Sonny Stitt,1956-01-01,1,4,291840,,44
Honeysuckle Rose,Anita O'Day,Anita,Anita O'Day,1955-01-01,1,2,193760,,44
Quintessence,Coleman Hawkins Quartet,Today And Now,Coleman Hawkins Quartet,1963-08-01,1,2,284680,,50
Cool Out,Leroy Hutson,Hutson,Leroy Hutson,1975-01-01,1,4,182028,https://p.scdn.co/mp3-preview/7d45dcecebd42c2d1f5a629163b4d0417cb52b17?cid=9950ac751e34487dbbe027c4fd7f8e99,45
I Could Write a Book,"Betty Carter, Ray Bryant",Social Call,Betty Carter,1980,1,3,158106,https://p.scdn.co/mp3-preview/8473adb6e210dc1595df24d4394a4bfa285bf718?cid=9950ac751e34487dbbe027c4fd7f8e99,47
Yams,"Jackie McLean, Herbie Hancock",Vertigo,Jackie McLean,2000-01-01,1,5,480000,,45
The Plum Blossom - Rudy Van Gelder Remaster,Yusef Lateef,Eastern Sounds,Yusef Lateef,1961,1,1,295066,,48
Hoe Down,Oliver Nelson,The Blues And The Abstract Truth,Oliver Nelson,1961-08-01,1,2,281986,,46
Weaver Of Dreams - Remastered 2003/Rudy Van Gelder Edition,Freddie Hubbard,Ready For Freddie (Rudy Van Gelder Remaster Edition),Freddie Hubbard,1961,1,2,395560,,48
One For Majid - Live,"Keith Jarrett, Gary Peacock, Jack DeJohnette",After The Fall (Live),"Keith Jarrett, Gary Peacock, Jack DeJohnette",2018-03-02,1,9,407586,,44
Stella By Starlight,Joe Lovano,I'm All For You (Ballad Songbook),Joe Lovano,2004-01-01,1,5,347773,,47
The Way You Look Tonight - 2003 Remastered,"Paul Desmond, Gerry Mulligan",The Complete RCA Victor Recordings,Paul Desmond,1963,6,5,439506,https://p.scdn.co/mp3-preview/e415824155d49d0ee3eee6daac95605223302c18?cid=9950ac751e34487dbbe027c4fd7f8e99,42
Bags' Groove,Milt Jackson,"Milt Jackson With John Lewis, Percy Heath, Kenny Clarke, Lou Donaldson And The Thelonious Monk Quintet (Expanded Edition)","Milt Jackson, Thelonious Monk Quintet",1956,1,4,186066,,46
Makin' Whoopee,The Ben Webster Quintet,Soulville,The Ben Webster Quintet,1957-01-01,1,6,271893,,46
Virgo - Remastered 2004 / Rudy Van Gelder Edition,Wayne Shorter,Night Dreamer,Wayne Shorter,1964-11-01,1,3,426800,,50
Someone To Watch Over Me,"Lee Konitz, Jimmy Giuffre",Lee Konitz Meets Jimmy Giuffre,"Lee Konitz, Jimmy Giuffre",1959-01-01,1,6,216360,,48
Louise,"Lionel Hampton, Stan Getz",Hamp & Getz,"Lionel Hampton, Stan Getz",1955-01-01,1,3,407800,,47
It Ain't Necessarily So,Mary Lou Williams,Gilles Peterson - Magic Peterson Sunshine,Various Artists,2016-04-15,1,2,280480,https://p.scdn.co/mp3-preview/15453ef8470dd7f974fb7e742de78cb1f277f6e9?cid=9950ac751e34487dbbe027c4fd7f8e99,52
Line For Lyons,"Gerry Mulligan, Paul Desmond Quartet",Gerry Mulligan - Paul Desmond Quartet / Blues In Time (Expanded Edition),"Gerry Mulligan, Paul Desmond Quartet",1957-12-01,1,4,188960,,51
I Can't Give You Anything But Love,Sonny Clark,Standards,Sonny Clark,1998-02-10,1,10,232306,,43
Fee-Fi-Fo-Fum - Remastered1998/Rudy Van Gelder Edition,Wayne Shorter,Speak No Evil,Wayne Shorter,1966-06-01,1,2,354066,,41
Ain't Misbehavin',Johnny Hartman,The Complete Gus Wildi Recordings,Johnny Hartman,2005-01-01,1,2,169360,https://p.scdn.co/mp3-preview/4f223eee7957ee488985a6ad17ccda57070863c3?cid=9950ac751e34487dbbe027c4fd7f8e99,43
I Remember You,Lee Konitz,Motion,Lee Konitz,1961-01-01,1,1,266706,,45
Serenade To A Soul Sister - Remastered,Horace Silver,Serenade To A Soul Sister,Horace Silver,2004-01-01,1,2,379000,,44
Conference Of The Birds,Dave Holland Quartet,Conference Of The Birds,Dave Holland Quartet,1973-06-20,1,3,277800,,45
Blues Inn - Remastered,Jackie McLean,Jackie's Bag,Jackie McLean,2003-01-01,1,2,545346,,43
Night Dreamer - Remastered 2004 / Rudy Van Gelder Edition,Wayne Shorter,Night Dreamer,Wayne Shorter,1964-11-01,1,1,435440,,44
Vendome,The Modern Jazz Quartet,Pyramid,The Modern Jazz Quartet,1960-01-01,1,1,150466,https://p.scdn.co/mp3-preview/4e2e533f56871476dc959f78b01e96df2ea03312?cid=9950ac751e34487dbbe027c4fd7f8e99,47
"He's Younger Than You Are - From ""Alfie"" Score",Sonny Rollins,Alfie,Sonny Rollins,1966,1,2,313440,,45
Until The Real Thing Comes Along,Coleman Hawkins,Soul,Coleman Hawkins,1958-01-01,1,6,282666,,45
How Long Has This Been Going On,"Ben Webster, Harry ""Sweets"" Edison","Ben And ""Sweets""","Ben Webster, Harry ""Sweets"" Edison",1962,1,2,330693,https://p.scdn.co/mp3-preview/0e60ab7338d3fd832c6119e1b8bec381d3ae35b4?cid=9950ac751e34487dbbe027c4fd7f8e99,46
In Your Own Sweet Way,Phil Woods,Warm Woods,Phil Woods,2005-01-01,1,1,484106,https://p.scdn.co/mp3-preview/f711b6e37f6d2766979937c6e0770ec2556916e4?cid=9950ac751e34487dbbe027c4fd7f8e99,43
Main Stem,Johnny Hodges,Everybody Knows,Johnny Hodges,1964-01-01,1,4,207480,,43
Have You Met Miss Jones?,Oscar Peterson Trio,Jazz in Autumn: Oscar Peterson,"Oscar Peterson, Oscar Peterson Trio",2023-10-04,1,86,250853,,44
Two Not One,"Lee Konitz, Warne Marsh",Lee Konitz with Warne Marsh,Lee Konitz,2005-10-18,1,5,331266,https://p.scdn.co/mp3-preview/0f099decc9a0495ef47286ef20f76665c158b010?cid=9950ac751e34487dbbe027c4fd7f8e99,43
Cottontail,Earl Hines,Once Upon A Time,Earl Hines,1966-01-01,1,4,193466,,42
What's the Rush,Gerry Mulligan & Johnny Hodges,Presenting Gerry Mulligan & Johnny Hodges,Gerry Mulligan & Johnny Hodges,1954-03-24,1,1,225168,https://p.scdn.co/mp3-preview/6e7cad1791154907a4a58342aba728e88b8229c0?cid=9950ac751e34487dbbe027c4fd7f8e99,47
Lover Man - Remastered 2006/Rudy Van Gelder Edition,Johnny Griffin,Introducing Johnny Griffin (Rudy Van Gelder Edition / Remastered),Johnny Griffin,1957-02-01,1,7,473386,,45
I'll Remember April,Carmen McRae,By Special Request,Carmen McRae,1955-01-01,1,10,157213,,42
Paul's Pal - Rudy Van Gelder Remaster,Sonny Rollins Quartet,Tenor Madness,Sonny Rollins Quartet,1956,1,3,309360,,48
"Dorene Don't Cry, I - Remastered",Stanley Turrentine,That's Where It's At,Stanley Turrentine,2005-01-01,1,5,374626,,43
My Sin - Remastered 2000/Rudy Van Gelder Edition,Hank Mobley,The Turnaround,Hank Mobley,2000-01-01,1,5,413306,,45
Too Close For Comfort,"Jutta Hipp, Zoot Sims",Jutta Hipp With Zoot Sims (Expanded Edition),"Jutta Hipp, Zoot Sims",1957,1,6,412653,,44
Inner Urge - Rudy Van Gelder Edition; 2004 Digital Remaster,Joe Henderson,Inner Urge (The Rudy Van Gelder Edition),Joe Henderson,2004-01-01,1,1,718960,,43
Foolin' Myself,Lee Konitz,Motion,Lee Konitz,1961-01-01,1,3,417320,,46
The Moontrane - Rudy Van Gelder 24Bit Mastering/Digital Remaster/1998,Larry Young,Unity (Remastered / Rudy Van Gelder Edition),Larry Young,1999-01-01,1,4,441426,,43
Solitude,Sonny Rollins,Way Out West (OJC Remaster),Sonny Rollins,1957,1,2,471173,,45
Tetragon,Joe Henderson,Tetragon,Joe Henderson,1968,1,4,339066,,42
I've Got A Crush On You,Ella Fitzgerald,Ella Sings Gershwin,Ella Fitzgerald,1950-09-11,1,5,196440,,59
Time After Time - Vocal Version,Chet Baker,Chet Baker Sings,Chet Baker,1956,1,8,166760,,63
But Not For Me - Vocal Version,Chet Baker,Chet Baker Sings,Chet Baker,1956,1,7,184466,,60
